("Aaron Rodgers","GNB",36,"QB",16,16,0,353,62.0,4002,0,26,189,74,11.3,0,0,0),
("Kyler Murray","ARI",22,"QB",16,16,1,349,64.4,3722,0,20,173,88,10.7,0,0,0),
("Baker Mayfield","CLE",24,"QB",16,16,0,317,59.4,3827,0,22,179,89,12.1,0,0,0),
("Andy Dalton","CIN",32,"QB",13,13,0,314,59.5,3494,0,16,170,66,11.1,0,0,0),
("Mitchell Trubisky","CHI",25,"QB",15,15,0,326,63.2,3138,0,17,156,53,9.6,0,0,0),
("Russell Wilson","SEA",31,"QB",16,16,0,341,66.1,4110,0,31,190,60,12.1,0,0,0),
("Derek Carr","OAK",28,"QB",16,16,0,361,70.4,4054,0,21,191,75,11.2,0,0,0),
("Ryan Fitzpatrick","MIA",37,"QB",15,13,0,311,62.0,3529,0,20,182,51,11.3,0,0,0),
("Deshaun Watson","HOU",24,"QB",15,15,0,333,67.3,3852,0,26,191,54,11.6,0,0,0),
("Kyle Allen","CAR",23,"QB",13,12,0,303,62.0,3322,0,17,188,52,11.0,0,0,0),
("Patrick Mahomes","KAN",24,"QB",14,14,0,319,65.9,4031,0,26,176,83,12.6,0,0,0),
("Jimmy Garoppolo","SFO",28,"QB",16,16,0,329,69.1,3978,0,27,193,75,12.1,0,0,0),
("Gardner Minshew II","JAX",23,"QB",14,12,0,285,60.6,3271,0,21,150,70,11.5,0,0,0),
("Travis Kelce","KAN",30,"TE",16,16,136,97,71.3,1229,12.7,5,65,47,9.0,6.1,76.8,1),
("Darren Waller","OAK",27,"TE",16,16,117,90,76.9,1145,12.7,3,53,75,9.8,5.6,71.6,1),
("Zach Ertz","PHI",29,"TE",15,15,135,88,65.2,916,10.4,6,50,30,6.8,5.9,61.1,1),
("George Kittle","SFO",26,"TE",14,14,107,85,79.4,1053,12.4,5,53,61,9.8,6.1,75.2,1),
("Austin Hooper","ATL",25,"TE",13,10,97,75,77.3,787,10.5,6,41,35,8.1,5.8,60.5,0),
("Tyler Higbee","LAR",26,"TE",15,15,89,69,77.5,734,10.6,3,36,33,8.2,4.6,48.9,0),
("Jason Witten","DAL",37,"TE",16,16,83,63,75.9,529,8.4,4,27,33,6.4,3.9,33.1,1),
("Dallas Goedert","PHI",24,"TE",15,9,87,58,66.7,607,10.5,5,33,28,7.0,3.9,40.5,2),
("Hunter Henry","LAC",25,"TE",12,12,76,55,72.4,652,11.9,5,36,30,8.6,4.6,54.3,1),
("Greg Olsen","CAR",34,"TE",14,14,82,52,63.4,597,11.5,2,34,41,7.3,3.7,42.6,0),
("Mike Gesicki","MIA",24,"TE",16,5,89,51,57.3,570,11.2,5,25,34,6.4,3.2,35.6,1),
("Evan Engram","NYG",25,"TE",8,6,68,44,64.7,467,10.6,3,23,75,6.9,5.5,58.4,0),
("Jared Cook","NOR",32,"TE",14,7,65,43,66.2,705,16.4,9,32,61,10.8,3.1,50.4,0),
("Jack Doyle","IND",29,"TE",16,16,72,43,59.7,448,10.4,4,29,23,6.2,2.7,28.0,1),
("Noah Fant","DEN",22,"TE",16,11,66,40,60.6,562,14.1,3,23,75,8.5,2.5,35.1,1),
("Kyle Rudolph","MIN",30,"TE",16,16,48,39,81.3,367,9.4,6,24,32,7.6,2.4,22.9,0),
("Jimmy Graham","GNB",33,"TE",16,10,60,38,63.3,447,11.8,3,23,48,7.5,2.4,27.9,1),
("Vance McDonald","PIT",29,"TE",14,14,55,38,69.1,273,7.2,3,12,22,5.0,2.7,19.5,1),
("Jordan Akins","HOU",27,"TE",16,9,55,36,65.5,418,11.6,2,21,53,7.6,2.3,26.1,0),
("Cameron Brate","TAM",28,"TE",16,6,55,36,65.5,311,8.6,4,21,37,5.7,2.3,19.4,0),
("Austin Ekeler","LAC",24,"RB",16,8,108,92,85.2,993,10.8,8,42,84,9.2,5.8,62.1,3),
("Alvin Kamara","NOR",24,"RB",14,9,97,81,83.5,533,6.6,1,28,41,5.5,5.8,38.1,4),
("Tarik Cohen","CHI",24,"RB",16,11,104,79,76.0,456,5.8,3,18,31,4.4,4.9,28.5,3),
("Leonard Fournette","JAX",24,"RB",15,15,100,76,76.0,522,6.9,0,23,27,5.2,5.1,34.8,1),
("LeVeon Bell","NYJ",27,"RB",15,15,78,66,84.6,461,7.0,1,20,23,5.9,4.4,30.7,1),
("Devonta Freeman","ATL",27,"RB",14,14,70,59,84.3,410,6.9,4,17,28,5.9,4.2,29.3,3),
("Ezekiel Elliott","DAL",24,"RB",16,16,71,54,76.1,420,7.8,2,21,27,5.9,3.4,26.3,3),
("Dalvin Cook","MIN",24,"RB",14,14,63,53,84.1,519,9.8,0,26,31,8.2,3.8,37.1,4),
("Saquon Barkley","NYG",22,"RB",13,13,73,52,71.2,438,8.4,2,14,65,6.0,4.0,33.7,1),
("Miles Sanders","PHI",22,"RB",16,11,63,50,79.4,509,10.2,3,19,45,8.1,3.1,31.8,2),
("Aaron Jones","GNB",25,"RB",16,16,68,49,72.1,474,9.7,3,18,67,7.0,3.1,29.6,3),
("Melvin Gordon","LAC",26,"RB",12,11,55,42,76.4,296,7.0,1,11,25,5.4,3.5,24.7,4),
("Chris Carson","SEA",25,"RB",15,15,47,37,78.7,266,7.2,2,10,21,5.7,2.5,17.7,7),
("Nick Chubb","CLE",24,"RB",16,16,49,36,73.5,278,7.7,0,13,32,5.7,2.3,17.4,3),
("David Johnson","ARI",28,"RB",13,9,47,36,76.6,370,10.3,4,17,31,7.9,2.8,28.5,1),
("Phillip Lindsay","DEN",25,"RB",16,16,48,35,72.9,196,5.6,0,9,36,4.1,2.2,12.3,0),
("Joe Mixon","CIN",23,"RB",16,15,45,35,77.8,287,8.2,3,14,33,6.4,2.2,17.9,0),
("James Conner","PIT",24,"RB",10,10,38,34,89.5,251,7.4,3,14,26,6.6,3.4,25.1,1),
("Latavius Murray","NOR",29,"RB",16,8,43,34,79.1,235,6.9,1,9,30,5.5,2.1,14.7,0),
("Steven Sims","WAS",22,"RB",16,2,56,34,60.7,310,9.1,4,18,65,5.5,2.1,19.4,1)
